price,city,name
"
  9 999 руб.        ",Владикавказ,"
 Новые iPhone 5S-16Gb/6-64Gb/6S-64Gb
 "
"
  9 999 руб.        ",Владикавказ,"
 Новый iPhone 5S-16GB/6-64GB/6S-64GB
 "
"
  15 990 руб.        ",Владикавказ,"
 iPhone 6 6s новые
 "
"
  7 000 руб.        ",Владикавказ,"
 Продам Айфон 5
 "
"
  12 000 руб.        ",Владикавказ,"
 Айфон 5S
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  21 000 руб.        ",Моздок,"
 iPhone 6s
 "
"
  17 500 руб.        ",Моздок,"
 iPhone 6 Gold 16 gb
 "
"
  ",Владикавказ,"
 iPhone 5s
 "
"
  25 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  15 000 руб.        ",Владикавказ,"
 IPhone5s 64 г
 "
"
  3 000 руб.        ",Владикавказ,"
 Айфон 4s
 "
"
  2 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  1 000 руб.        ",Владикавказ,"
 iPhone 4s
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb розовый
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  22 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb
 "
"
  13 500 руб.        ",Владикавказ,"
 iPhone 5se grey 64GB
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  28 990 руб.        ",Владикавказ,"
 iPhone 7 32gb
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone 6 64gb
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone se 64 gb
 "
"
  9 000 руб.        ",Владикавказ,"
 5s ориг.без единой царапины и дефекта
 "
"
  2 500 руб.        ",Владикавказ,"
 5 белый 16гб
 "
"
  8 900 руб.        ",Владикавказ,"
 Сотовый телефон iPhone 5s 16Gb
 "
"
  24 000 руб.        ",Владикавказ,"
 Два телефона 5S 32gb и 4S 16gb
 "
"
  13 500 руб.        ",Владикавказ,"
 iPhone 5se 64 Giga
 "
"
  18 990 руб.        ",Владикавказ,"
 Новые iPhone 6-64GB/6S-64GB
 "
"
  11 000 руб.        ",Владикавказ,"
 iPhone 6 16 гиг
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5.черный
 "
"
  52 000 руб.        ",Чермен,"
 Продаю iPhone 8+ (Плюс)
 "
"
  29 000 руб.        ",Владикавказ,"
 iPhone 6S 128 Gb
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 5 16
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  45 990 руб.        ",Владикавказ,"
 iPhone 7 128 Гб Gold
 "
"
  31 900 руб.        ",Владикавказ,"
 iPhone 6S 32 Гб Gold
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5, в идеальном состоянии
 "
"
  30 000 руб.        ",Владикавказ,"
 iPhone 7 128gb
 "
"
  36 000 руб.        ",Владикавказ,"
 iPhone 7 128g
 "
"
  26 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  4 000 руб.        ",Владикавказ,"
 iPhone 4S
 "
"
  14 000 руб.        ",Владикавказ,"
 iPhone se
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 32
 "
"
  12 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  18 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone se 32g
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5S 16 Gb
 "
"
  45 990 руб.        ",Владикавказ,"
 iPhone 7 128 Гб черный
 "
"
  6 000 руб.        ",Моздок,"
 iPhone 5S
 "
"
  42 000 руб.        ",Владикавказ,"
 iPhone 8 gold 64gb совсем новый золотой
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  14 000 руб.        ",Владикавказ,"
 iPhone SE 32 gb
 "
"
  15 500 руб.        ",Владикавказ,"
 Телефон
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone 5SE 16 gb
 "
"
  37 000 руб.        ",Владикавказ,"
 iPhone 7 Plus 32 Gb
 "
"
  45 900 руб.        ",Владикавказ,"
 iPhone 8 64 гб новый куплен сегодня В МТС
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  11 000 руб.        ",Владикавказ,"
 iPhone 5s gold 16gb
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s 16g
 "
"
  44 000 руб.        ",Владикавказ,"
 iPhone 8 64gb абсолютно новый с чеком чёрный
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb оригинал
 "
"
  3 000 руб.        ",Беслан,"
 iPhone 4
 "
"
  22 000 руб.   ",Моздок,"
 iPhone
 "
"
  8 000 руб.        ",Моздок,"
 Айфон 5S
 "
"
  11 500 руб.        ",Владикавказ,"
 iPhone 5s 16гб
 "
